

Starting up round ID . 11:46:41
---------------------
[11:57:03]ATTACK: Aaliyah Rhinehart(arkadiusz123) has thrown owl hardsuit with    (128,198,2)
[12:10:38]ATTACK: Jackson Waldron(bundeswer) shot wtf(@alcaroisafrick) with 5.56mm bullet (NEWHP: 72) (132,273,2)
[12:10:38]ATTACK: Jackson Waldron(bundeswer) shot wtf(@alcaroisafrick) with 5.56mm bullet (NEWHP: 72) (132,273,2)
[12:10:39]ATTACK: Jackson Waldron(bundeswer) shot wtf(@alcaroisafrick) with 5.56mm bullet (NEWHP: 72) (132,273,2)
[12:10:39]ATTACK: Jackson Waldron(bundeswer) fired at wtf(@alcaroisafrick) with 5.56mm bullet Arrival Shuttle Hallway (NEWHP: 72) (132,273,2)
[12:10:39]ATTACK: Jackson Waldron(bundeswer) fired at wtf(@alcaroisafrick) with 5.56mm bullet Arrival Shuttle Hallway (NEWHP: 72) (132,273,2)
[12:10:39]ATTACK: Jackson Waldron(bundeswer) fired at wtf(@alcaroisafrick) with 5.56mm bullet Arrival Shuttle Hallway (NEWHP: 72) (132,273,2)
[12:10:39]ATTACK: Jackson Waldron(bundeswer) shot wtf(@alcaroisafrick) with 5.56mm bullet (NEWHP: 72) (132,273,2)
[12:10:39]ATTACK: Jackson Waldron(bundeswer) shot wtf(@alcaroisafrick) with 5.56mm bullet (NEWHP: 72) (132,273,2)
[12:10:40]ATTACK: Jackson Waldron(bundeswer) shot wtf(@alcaroisafrick) with 5.56mm bullet (NEWHP: 72) (132,273,2)
[12:10:40]ATTACK: Jackson Waldron(bundeswer) fired at wtf(@alcaroisafrick) with 5.56mm bullet Arrival Shuttle Hallway (NEWHP: 72) (132,273,2)
[12:10:40]ATTACK: Jackson Waldron(bundeswer) fired at wtf(@alcaroisafrick) with 5.56mm bullet Arrival Shuttle Hallway (NEWHP: 72) (132,273,2)
[12:10:40]ATTACK: Jackson Waldron(bundeswer) fired at wtf(@alcaroisafrick) with 5.56mm bullet Arrival Shuttle Hallway (NEWHP: 72) (132,273,2)
[12:10:40]ATTACK: Jackson Waldron(bundeswer) shot wtf(@alcaroisafrick) with 5.56mm bullet (NEWHP: 72) (132,273,2)
[12:10:40]ATTACK: Jackson Waldron(bundeswer) shot wtf(@alcaroisafrick) with 5.56mm bullet (NEWHP: 72) (132,273,2)
[12:10:40]ATTACK: Jackson Waldron(bundeswer) shot wtf(@alcaroisafrick) with 5.56mm bullet (NEWHP: 72) (132,273,2)
[12:10:48]ATTACK: Jackson Waldron(bundeswer) fired at floor with The explosive bolt Arrival Shuttle Hallway   (132,279,2)
[12:10:49]ATTACK: Jackson Waldron(bundeswer) shot wtf(@alcaroisafrick) with The explosive bolt (NEWHP: 52) (132,273,2)
[12:11:33]ATTACK: Jackson Waldron(bundeswer) fired at floor with The explosive bolt Arrival Shuttle Hallway   (130,278,2)
[12:11:35]ATTACK: Jackson Waldron(bundeswer) fired at floor with The explosive bolt Arrival Shuttle Hallway   (130,277,2)
[12:11:37]ATTACK: Jackson Waldron(bundeswer) fired at floor with The explosive bolt Arrival Shuttle Hallway   (124,279,2)
[12:11:38]ATTACK: Jackson Waldron(bundeswer) fired at floor with The explosive bolt Arrival Shuttle Hallway   (124,277,2)
[12:11:38]ATTACK: Jackson Waldron(bundeswer) fired at Solar's Best Hot Drinks with The explosive bolt Arrival Shuttle Hallway   (125,279,2)
[12:11:39]ATTACK: Jackson Waldron(bundeswer) fired at Solar's Best Hot Drinks with The explosive bolt Arrival Shuttle Hallway   (125,279,2)
[12:11:39]ATTACK: Jackson Waldron(bundeswer) fired at Robust Softdrinks with The explosive bolt Arrival Shuttle Hallway   (125,280,2)
[12:12:15]ATTACK: Aaliyah Rhinehart(arkadiusz123) has thrown romerol bottle with    (119,207,2)
[12:12:50]ATTACK: Jackson Waldron(bundeswer) fired at floor with The explosive bolt Arrival Shuttle Hallway   (126,288,2)
[12:12:50]ATTACK: Jackson Waldron(bundeswer) shot Gavin(alcaroisafrick) with The explosive bolt (NEWHP: 100) (126,290,2)
[12:12:51]ATTACK: Jackson Waldron(bundeswer) fired at floor with The explosive bolt Arrival Shuttle Hallway   (126,290,2)
[12:12:52]ATTACK: Aaliyah Rhinehart(arkadiusz123) has thrown cool superpowers plant with    (119,210,2)
[12:12:55]ATTACK: Jackson Waldron(bundeswer) fired at floor with The explosive bolt Arrival Shuttle Hallway   (128,291,2)
[12:12:56]ATTACK: Jackson Waldron(bundeswer) fired at floor with The explosive bolt Arrival Shuttle Hallway   (128,291,2)
[12:12:57]ATTACK: Jackson Waldron(bundeswer) fired at wall with The explosive bolt Arrival Shuttle Hallway   (125,292,2)
[12:12:58]ATTACK: Jackson Waldron(bundeswer) shot Gavin(alcaroisafrick) with The explosive bolt (NEWHP: 43.5) (128,291,2)
[12:13:33]ATTACK: Aaliyah Rhinehart(arkadiusz123) grabbed Jaydon Synder(borksin) with passive grab (NEWHP: 100) (145,211,2)
[12:13:47]ATTACK: Gavin(alcaroisafrick) shaked Jaydon Synder(borksin) with  (NEWHP: 100) (128,209,2)
[12:13:59]ATTACK: Jackson Waldron(bundeswer) climbed onto reinforced table with    (300,166,2)
[12:14:10]ATTACK: Aaliyah Rhinehart(arkadiusz123) stripped Gavin(alcaroisafrick) with of the engineering scanner goggles (NEWHP: 100) (129,208,2)
[12:14:26]ATTACK: Aaliyah Rhinehart(arkadiusz123) attemped to inject Gavin(alcaroisafrick) with The syringewhich had Romerol (NEWHP: 100) (129,208,2)
[12:14:31]ATTACK: Aaliyah Rhinehart(arkadiusz123) attemped to inject Gavin(alcaroisafrick) with The syringewhich had Romerol (NEWHP: 100) (128,208,2)
[12:14:34]ATTACK: Aaliyah Rhinehart(arkadiusz123) attemped to inject Gavin(alcaroisafrick) with The syringewhich had Romerol (NEWHP: 100) (128,208,2)
[12:14:34]ATTACK: Aaliyah Rhinehart(arkadiusz123) injected Gavin(alcaroisafrick) with The syringewhich had Romerol (NEWHP: 100) (128,208,2)
[12:14:37]ATTACK: Aaliyah Rhinehart(arkadiusz123) injected Gavin(alcaroisafrick) with The syringewhich had Romerol (NEWHP: 100) (128,208,2)
[12:14:38]ATTACK: Aaliyah Rhinehart(arkadiusz123) attemped to inject Gavin(alcaroisafrick) with The syringewhich had Romerol (NEWHP: 100) (128,208,2)
[12:14:41]ATTACK: Aaliyah Rhinehart(arkadiusz123) injected Gavin(alcaroisafrick) with The syringewhich had Romerol (NEWHP: 100) (128,208,2)
[12:14:45]ATTACK: Jackson Waldron(bundeswer) has thrown syndicate minibomb with    (127,204,2)
[12:14:55]ATTACK: Aaliyah Rhinehart(arkadiusz123) grabbed Gavin(alcaroisafrick) with passive grab (NEWHP: 100) (128,207,2)
[12:15:13]ATTACK: Jackson Waldron(bundeswer) has thrown syndicate minibomb with    (127,199,2)
[12:15:16]ATTACK: NON-EXISTENT USER electrified Service Foyer with    (127,210,2)
[12:15:34]ATTACK: Aaliyah Rhinehart(arkadiusz123) grabbed Gavin(alcaroisafrick) with passive grab (NEWHP: 100) (129,208,2)
[12:15:58]ATTACK: Gavin(alcaroisafrick) grabbed Jaydon Synder(borksin) with passive grab (NEWHP: 74) (128,207,2)
[12:16:02]ATTACK: Aaliyah Rhinehart(arkadiusz123) has thrown cool superpowers plant with    (134,150,2)
[12:16:02]ATTACK: Aaliyah Rhinehart(arkadiusz123) threw and hit Jackson Waldron(bundeswer) with The cool superpowers plant (NEWHP: 100) (135,150,2)
[12:16:44]ATTACK: Aaliyah Rhinehart(arkadiusz123) stabbed Jackson Waldron(bundeswer) with The pen (NEWHP: 79) (133,148,2)
[12:17:02]ATTACK: Aaliyah Rhinehart(arkadiusz123) has thrown romerol bottle with    (131,151,2)
[12:17:02]ATTACK: Aaliyah Rhinehart(arkadiusz123) splashed (thrown) Romerol floor with at the floor(133,147,2)   (133,147,2)
[12:17:20]ATTACK: Aaliyah Rhinehart(arkadiusz123) stabbed Jaydon Synder(borksin) with The pen (NEWHP: 100) (132,137,2)
[12:17:22]ATTACK: Aaliyah Rhinehart(arkadiusz123) stabbed Jaydon Synder(borksin) with The pen (NEWHP: 100) (132,137,2)
[12:17:43]ATTACK: Aaliyah Rhinehart(arkadiusz123) stripped Gavin(alcaroisafrick) with of the elite syndicate hardsuit (combat) (NEWHP: 100) (131,137,2)
[12:17:45]ATTACK: Aaliyah Rhinehart(arkadiusz123) stripped Jaydon Synder(borksin) with of the elite syndicate hardsuit (NEWHP: 100) (132,137,2)
[12:17:47]ATTACK: Aaliyah Rhinehart(arkadiusz123) stabbed Jaydon Synder(borksin) with The pen (NEWHP: 100) (132,137,2)
[12:17:49]ATTACK: Aaliyah Rhinehart(arkadiusz123) stabbed Gavin(alcaroisafrick) with The pen (NEWHP: 100) (131,137,2)
[12:18:16]ATTACK: Aaliyah Rhinehart(arkadiusz123) stabbed Jaydon Synder(borksin) with The pen (NEWHP: 100) (132,137,2)
[12:18:18]ATTACK: Aaliyah Rhinehart(arkadiusz123) stabbed Gavin(alcaroisafrick) with The pen (NEWHP: 100) (131,137,2)
[12:18:24]ATTACK: Aaliyah Rhinehart(arkadiusz123) stabbed Gavin(alcaroisafrick) with The pen (NEWHP: 100) (131,137,2)
[12:18:28]ATTACK: Aaliyah Rhinehart(arkadiusz123) stabbed Gavin(alcaroisafrick) with The pen (NEWHP: 100) (131,137,2)
[12:18:29]ATTACK: Aaliyah Rhinehart(arkadiusz123) stabbed Jaydon Synder(borksin) with The pen (NEWHP: 100) (132,137,2)
[12:18:31]ATTACK: Aaliyah Rhinehart(arkadiusz123) stabbed Jaydon Synder(borksin) with The pen (NEWHP: 100) (132,137,2)
[12:18:49]ATTACK: Aaliyah Rhinehart(arkadiusz123) stabbed Gavin(alcaroisafrick) with The pen (NEWHP: 100) (131,137,2)
[12:18:51]ATTACK: Aaliyah Rhinehart(arkadiusz123) stabbed Gavin(alcaroisafrick) with The pen (NEWHP: 100) (131,137,2)
[12:19:05]ATTACK: Aaliyah Rhinehart(arkadiusz123) stabbed Jaydon Synder(borksin) with The pen (NEWHP: 100) (132,137,2)
[12:19:06]ATTACK: Aaliyah Rhinehart(arkadiusz123) stabbed Jaydon Synder(borksin) with The pen (NEWHP: 100) (132,137,2)
[12:19:06]ATTACK: Aaliyah Rhinehart(arkadiusz123) stabbed Jaydon Synder(borksin) with The pen (NEWHP: 100) (132,137,2)
[12:21:03]ATTACK: Aaliyah Rhinehart(arkadiusz123) has thrown box with    (127,149,2)
[12:21:12]ATTACK: Aaliyah Rhinehart(arkadiusz123) attemped to inject Aaliyah Rhinehart(arkadiusz123) with The syringewhich had Romerol (NEWHP: 90) (127,149,2)
[12:21:12]ATTACK: <font color='red'>Aaliyah Rhinehart (arkadiusz123) injected Aaliyah Rhinehart (arkadiusz123) with syringe, which had Romerol (INTENT: HELP)</font>
[12:21:13]ATTACK: Aaliyah Rhinehart(arkadiusz123) attemped to inject Aaliyah Rhinehart(arkadiusz123) with The syringewhich had Romerol (NEWHP: 90) (127,149,2)
[12:21:13]ATTACK: <font color='red'>Aaliyah Rhinehart (arkadiusz123) injected Aaliyah Rhinehart (arkadiusz123) with syringe, which had Romerol (INTENT: HELP)</font>
[12:21:27]ATTACK: Aaliyah Rhinehart(arkadiusz123) attemped to inject Aaliyah Rhinehart(arkadiusz123) with The syringewhich had Romerol (NEWHP: 98) (127,149,2)
[12:21:27]ATTACK: <font color='red'>Aaliyah Rhinehart (arkadiusz123) injected Aaliyah Rhinehart (arkadiusz123) with syringe, which had Romerol (INTENT: HELP)</font>
[12:21:38]ATTACK: Jaydon Synder(borksin) headbutted Aaliyah Rhinehart(arkadiusz123) with  (NEWHP: 84) (127,149,2)
[12:23:37]ATTACK: Aaliyah Rhinehart(arkadiusz123) attacked Gavin(alcaroisafrick) with zombie claw(INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 83.2) (119,151,2)
[12:23:43]ATTACK: Aaliyah Rhinehart(arkadiusz123) attacked Jaydon Synder(borksin) with zombie claw(INTENT: HELP) (DAMTYPE: BRUTE) (NEWHP: 28) (117,148,2)
[12:24:29]ATTACK: NON-EXISTENT USER electrified Research Division Access with    (131,152,2)
[12:24:32]ATTACK: NON-EXISTENT USER electrified Research Division Access with    (131,152,2)
[12:24:35]ATTACK: NON-EXISTENT USER electrified Research Division Access with    (131,152,2)
[12:24:37]ATTACK: NON-EXISTENT USER electrified Research Division Access with    (131,152,2)
[12:24:39]ATTACK: NON-EXISTENT USER electrified Research Division Access with    (131,152,2)
[12:24:42]ATTACK: NON-EXISTENT USER electrified Research Division Access with    (131,152,2)
[12:24:44]ATTACK: NON-EXISTENT USER electrified Research Division Access with    (131,152,2)
[12:24:46]ATTACK: NON-EXISTENT USER electrified Research Division Access with    (131,152,2)
[12:24:48]ATTACK: NON-EXISTENT USER electrified Research Division Access with    (131,152,2)
[12:24:50]ATTACK: NON-EXISTENT USER electrified Research Division Access with    (133,152,2)
[12:24:53]ATTACK: NON-EXISTENT USER electrified Research Division Access with    (133,152,2)
[12:24:55]ATTACK: NON-EXISTENT USER electrified Research Division Access with    (133,152,2)
[12:25:00]ATTACK: NON-EXISTENT USER electrified Research Division Access with    (133,152,2)
[12:25:03]ATTACK: NON-EXISTENT USER electrified Research Division Access with    (133,152,2)
[12:25:05]ATTACK: NON-EXISTENT USER electrified Research Division Access with    (133,152,2)
[12:25:08]ATTACK: NON-EXISTENT USER electrified Research Division Access with    (133,152,2)
[12:25:10]ATTACK: NON-EXISTENT USER electrified Research Division Access with    (133,152,2)
[12:25:13]ATTACK: NON-EXISTENT USER electrified Research Division Access with    (133,152,2)
[12:25:18]ATTACK: NON-EXISTENT USER electrified Research Division Access with    (133,152,2)
[12:25:20]ATTACK: NON-EXISTENT USER electrified Research Division Access with    (133,152,2)
[12:25:22]ATTACK: NON-EXISTENT USER electrified Research Division Access with    (133,152,2)
[12:25:25]ATTACK: NON-EXISTENT USER electrified Research Division Access with    (133,152,2)
[12:26:27]ATTACK: Jackson Waldron(bundeswer) attempted to inject Jackson Waldron(bundeswer) with The combat stimulant injector(Epinephrine, Omnizine, Leporazine and Atropine) (NEWHP: 100) (123,149,2)
[12:26:27]ATTACK: Jackson Waldron(bundeswer) injected Jackson Waldron(bundeswer) with The combat stimulant injector(Epinephrine, Omnizine, Leporazine and Atropine) (NEWHP: 100) (123,149,2)
[12:26:28]ATTACK: Jackson Waldron(bundeswer) attempted to inject Jackson Waldron(bundeswer) with The combat stimulant injector(Epinephrine, Omnizine, Leporazine and Atropine) (NEWHP: 100) (123,149,2)
[12:26:28]ATTACK: Jackson Waldron(bundeswer) injected Jackson Waldron(bundeswer) with The combat stimulant injector(Epinephrine, Omnizine, Leporazine and Atropine) (NEWHP: 100) (123,149,2)
[12:26:29]ATTACK: Jackson Waldron(bundeswer) attempted to inject Jackson Waldron(bundeswer) with The combat stimulant injector(Epinephrine, Omnizine, Leporazine and Atropine) (NEWHP: 100) (123,149,2)
[12:26:29]ATTACK: Jackson Waldron(bundeswer) injected Jackson Waldron(bundeswer) with The combat stimulant injector(Epinephrine, Omnizine, Leporazine and Atropine) (NEWHP: 100) (123,149,2)
[12:26:30]ATTACK: Jackson Waldron(bundeswer) attempted to inject Jackson Waldron(bundeswer) with The combat stimulant injector(Epinephrine, Omnizine, Leporazine and Atropine) (NEWHP: 100) (123,149,2)
[12:26:30]ATTACK: Jackson Waldron(bundeswer) injected Jackson Waldron(bundeswer) with The combat stimulant injector(Epinephrine, Omnizine, Leporazine and Atropine) (NEWHP: 100) (123,149,2)
[12:26:32]ATTACK: Jackson Waldron(bundeswer) attempted to inject Jackson Waldron(bundeswer) with The combat stimulant injector(Epinephrine, Omnizine, Leporazine and Atropine) (NEWHP: 100) (120,149,2)
[12:26:32]ATTACK: Jackson Waldron(bundeswer) injected Jackson Waldron(bundeswer) with The combat stimulant injector(Epinephrine, Omnizine, Leporazine and Atropine) (NEWHP: 100) (120,149,2)
[12:26:33]ATTACK: Jackson Waldron(bundeswer) attempted to inject Jackson Waldron(bundeswer) with The combat stimulant injector(Epinephrine, Omnizine, Leporazine and Atropine) (NEWHP: 100) (120,151,2)
[12:26:33]ATTACK: Jackson Waldron(bundeswer) injected Jackson Waldron(bundeswer) with The combat stimulant injector(Epinephrine, Omnizine, Leporazine and Atropine) (NEWHP: 100) (120,151,2)
[12:26:34]ATTACK: Jackson Waldron(bundeswer) attempted to inject Jackson Waldron(bundeswer) with The combat stimulant injector(Epinephrine, Omnizine, Leporazine and Atropine) (NEWHP: 96) (119,149,2)
[12:26:34]ATTACK: Jackson Waldron(bundeswer) injected Jackson Waldron(bundeswer) with The combat stimulant injector(Epinephrine, Omnizine, Leporazine and Atropine) (NEWHP: 96) (119,149,2)
[12:26:35]ATTACK: Jackson Waldron(bundeswer) attempted to inject Jackson Waldron(bundeswer) with The combat stimulant injector(Epinephrine, Omnizine, Leporazine and Atropine) (NEWHP: 96) (116,149,2)
[12:26:35]ATTACK: Jackson Waldron(bundeswer) injected Jackson Waldron(bundeswer) with The combat stimulant injector(Epinephrine, Omnizine, Leporazine and Atropine) (NEWHP: 96) (116,149,2)
[12:26:36]ATTACK: Jackson Waldron(bundeswer) attempted to inject Jackson Waldron(bundeswer) with The combat stimulant injector(Epinephrine, Omnizine, Leporazine and Atropine) (NEWHP: 90) (118,149,2)
[12:26:36]ATTACK: Jackson Waldron(bundeswer) injected Jackson Waldron(bundeswer) with The combat stimulant injector(Epinephrine, Omnizine, Leporazine and Atropine) (NEWHP: 90) (118,149,2)
[12:30:59]ATTACK: Gavin(alcaroisafrick) has thrown russian revolver with    (147,116,2)
[12:31:09]ATTACK: Gavin(alcaroisafrick) fired at fuel tank with The beanbag slug Departure Lounge   (147,111,2)
[12:31:11]ATTACK: Gavin(alcaroisafrick) fired at floor with The beanbag slug Departure Lounge   (148,111,2)
[12:31:47]ATTACK: Gavin(alcaroisafrick) fired at fuel tank with The beanbag slug Departure Lounge   (147,117,2)
[12:31:48]ATTACK: Gavin(alcaroisafrick) fired at fuel tank with The beanbag slug Departure Lounge   (146,117,2)
[12:31:57]ATTACK: Gavin(alcaroisafrick) has thrown shotgun with    (146,120,2)
[12:34:03]ATTACK: Gavin(alcaroisafrick) fired at floor with The bolt of resurrection Departure Lounge   (146,118,2)
[12:34:03]ATTACK: Gavin(alcaroisafrick) shot Jaydon Synder(borksin) with The bolt of resurrection (NEWHP: 83.5) (146,118,2)
[12:34:16]ATTACK: Gavin(alcaroisafrick) fired at potted plant with The bolt of resurrection Departure Lounge   (138,115,2)
[12:34:16]ATTACK: Gavin(alcaroisafrick) shot Unknown(bundeswer) with The bolt of resurrection (NEWHP: 100) (138,115,2)
[12:34:41]ATTACK: Gavin(alcaroisafrick) fired at floor with The bolt of resurrection Departure Lounge   (145,113,2)
[12:34:44]ATTACK: Gavin(alcaroisafrick) has thrown staff of healing with    (146,118,2)
[12:35:27]ATTACK: Unknown(bundeswer) fired at floor with The bolt of resurrection Departure Lounge   (148,117,2)
